DATE,TIME(EST),OPPONENT,ARENA,HOME
10-29-2013,10:30 PM,Los Angeles Lakers,Staples Center,False
10-31-2013,10:30 PM,Golden State Warriors,Staples Center,True
11-1-2013,10:00 PM,Sacramento Kings,Sleep Train Arena,False
11-4-2013,10:30 PM,Houston Rockets,Staples Center,True
11-6-2013,7:00 PM,Orlando Magic,Amway Center,False
11-7-2013,7:00 PM,Miami Heat,AmericanAirlines Arena,False
11-9-2013,8:00 PM,Houston Rockets,Toyota Center,False
11-11-2013,10:30 PM,Minnesota Timberwolves,Staples Center,True
11-13-2013,10:30 PM,Oklahoma City Thunder,Staples Center,True
11-16-2013,10:30 PM,Brooklyn Nets,Staples Center,True
11-18-2013,10:30 PM,Memphis Grizzlies,Staples Center,True
11-20-2013,8:00 PM,Minnesota Timberwolves,Target Center,False
11-21-2013,8:00 PM,Oklahoma City Thunder,Chesapeake Energy Arena,False
11-23-2013,3:30 PM,Sacramento Kings,Staples Center,True
11-24-2013,3:30 PM,Chicago Bulls,Staples Center,True
11-27-2013,10:30 PM,New York Knicks,Staples Center,True
11-29-2013,10:00 PM,Sacramento Kings,Sleep Train Arena,False
12-1-2013,3:30 PM,Indiana Pacers,Staples Center,True
12-4-2013,7:30 PM,Atlanta Hawks,Philips Arena,False
12-5-2013,8:00 PM,Memphis Grizzlies,FedExForum,False
12-7-2013,7:30 PM,Cleveland Cavaliers,Quicken Loans Arena,False
12-9-2013,7:00 PM,Philadelphia 76ers,Wells Fargo Center,False
12-11-2013,7:30 PM,Boston Celtics,TD Garden,False
12-12-2013,8:00 PM,Brooklyn Nets,Barclays Center,False
12-14-2013,7:00 PM,Washington Wizards,Verizon Center,False
12-16-2013,10:30 PM,San-Antonio Spurs,Staples Center,True
12-18-2013,10:30 PM,New Orleans Pelicans,Staples Center,True
12-21-2013,10:30 PM,Denver Nuggets,Staples Center,True
12-22-2013,9:30 PM,Minnesota Timberwolves,Staples Center,True
12-25-2013,10:30 PM,Golden State Warriors,Oracle Arena,False
12-26-2013,10:30 PM,Portland Trail Blazers,Moda Center,False
12-28-2013,10:30 PM,Utah Jazz,Staples Center,True
12-30-2013,10:30 PM,Phoenix Suns,Staples Center,True
1-1-2014,9:30 PM,Charlotte Bobcats,Staples Center,True
1-3-2014,8:30 PM,Dallas Mavericks,American Airlines Center,False
1-4-2014,8:30 PM,San-Antonio Spurs,AT&T Center,False
1-6-2014,10:30 PM,Orlando Magic,Staples Center,True
1-8-2014,10:30 PM,Boston Celtics,Staples Center,True
1-10-2014,10:30 PM,Los Angeles Lakers,Staples Center,True
1-15-2014,10:30 PM,Dallas Mavericks,Staples Center,True
1-17-2014,7:00 PM,New York Knicks,Madison Square Garden,False
1-18-2014,7:00 PM,Indiana Pacers,Bankers Life Fieldhouse,False
1-20-2014,1:00 PM,Detroit Pistons,The Palace of Auburn Hills,False
1-22-2014,7:00 PM,Charlotte Bobcats,Time Warner Cable Arena,False
1-24-2014,8:00 PM,Chicago Bulls,United Center,False
1-25-2014,7:00 PM,Toronto Raptors,Air Canada Centre,False
1-27-2014,8:00 PM,Milwaukee Bucks,BMO Harris Bradley Center,False
1-29-2014,10:30 PM,Washington Wizards,Staples Center,True
1-30-2014,10:30 PM,Golden State Warriors,Oracle Arena,False
2-1-2014,10:30 PM,Utah Jazz,Staples Center,True
2-3-2014,9:00 PM,Denver Nuggets,Pepsi Center,False
2-5-2014,10:30 PM,Miami Heat,Staples Center,True
2-7-2014,10:30 PM,Toronto Raptors,Staples Center,True
2-9-2014,9:30 PM,Philadelphia 76ers,Staples Center,True
2-12-2014,10:30 PM,Portland Trail Blazers,Staples Center,True
2-18-2014,10:30 PM,San-Antonio Spurs,Staples Center,True
2-21-2014,8:00 PM,Memphis Grizzlies,FedExForum,False
2-23-2014,1:00 PM,Oklahoma City Thunder,Chesapeake Energy Arena,False
2-24-2014,8:00 PM,New Orleans Pelicans,New Orleans Arena,False
2-26-2014,10:30 PM,Houston Rockets,Staples Center,True
3-1-2014,10:30 PM,New Orleans Pelicans,Staples Center,True
3-4-2014,9:00 PM,Phoenix Suns,US Airways Center,False
3-6-2014,10:30 PM,Los Angeles Lakers,Staples Center,False
3-8-2014,10:30 PM,Atlanta Hawks,Staples Center,True
3-10-2014,10:30 PM,Phoenix Suns,Staples Center,True
3-12-2014,10:30 PM,Golden State Warriors,Staples Center,True
3-14-2014,9:00 PM,Utah Jazz,EnergySolutions Arena,False
3-16-2014,9:30 PM,Cleveland Cavaliers,Staples Center,True
3-17-2014,10:30 PM,Denver Nuggets,Pepsi Center,False
3-22-2014,10:30 PM,Detroit Pistons,Staples Center,True
3-24-2014,10:30 PM,Milwaukee Bucks,Staples Center,True
3-26-2014,8:00 PM,New Orleans Pelicans,New Orleans Arena,False
3-27-2014,8:30 PM,Dallas Mavericks,American Airlines Center,False
3-29-2014,8:00 PM,Houston Rockets,Toyota Center,False
3-31-2014,8:00 PM,Minnesota Timberwolves,Target Center,False
4-2-2014,10:00 PM,Phoenix Suns,US Airways Center,False
4-3-2014,10:30 PM,Dallas Mavericks,Staples Center,True
4-6-2014,3:30 PM,Los Angeles Lakers,Staples Center,True
4-9-2014,10:30 PM,Oklahoma City Thunder,Staples Center,True
4-12-2014,3:30 PM,Sacramento Kings,Staples Center,True
4-15-2014,10:30 PM,Denver Nuggets,Staples Center,True
4-16-2014,10:30 PM,Portland Trail Blazers,Moda Center,False
